id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target
603,Female,disloyal Customer,27,Business travel,Business,2649,3,3,3,4,1,3,1,1,3,5,5,3,4,1,0,0.0,0
604,Female,Loyal Customer,38,Business travel,Eco,995,3,4,4,4,3,3,3,3,5,3,5,4,1,3,0,5.0,1
605,Female,Loyal Customer,55,Business travel,Business,216,2,2,5,2,4,4,5,5,5,5,4,3,5,4,87,72.0,1
606,Female,Loyal Customer,47,Business travel,Business,2331,4,4,4,4,5,5,4,4,4,4,4,3,4,4,0,0.0,1
607,Female,Loyal Customer,47,Business travel,Business,734,2,1,1,1,3,4,4,2,2,2,2,2,2,3,0,0.0,0
608,Female,Loyal Customer,42,Personal Travel,Eco,251,3,3,3,3,5,5,5,5,4,3,5,4,4,5,5,11.0,1
609,Male,Loyal Customer,25,Business travel,Business,3159,5,5,5,5,4,5,4,4,1,5,3,4,1,4,0,0.0,1
610,Female,Loyal Customer,54,Business travel,Business,3739,1,1,1,1,2,3,4,5,5,5,5,4,5,3,0,0.0,1
611,Female,disloyal Customer,21,Business travel,Eco,1390,1,0,1,1,4,1,4,4,4,5,5,5,4,4,0,0.0,0
612,Male,Loyal Customer,35,Business travel,Eco,1105,5,4,4,4,5,5,5,5,5,3,3,2,2,5,0,0.0,1
613,Female,Loyal Customer,50,Business travel,Business,3603,0,5,0,1,4,5,4,5,5,5,5,4,5,4,23,16.0,1
614,Female,Loyal Customer,33,Personal Travel,Eco,1915,4,4,4,2,2,4,2,2,3,5,4,4,5,2,0,1.0,0
615,Female,Loyal Customer,30,Personal Travel,Business,1256,5,5,5,1,3,5,3,3,4,3,5,5,4,3,0,0.0,1
616,Male,Loyal Customer,68,Personal Travel,Eco,2566,1,5,1,1,5,1,5,5,3,4,4,4,4,5,0,0.0,0
617,Male,Loyal Customer,40,Business travel,Business,416,1,1,1,1,3,5,5,3,3,4,3,5,3,5,16,25.0,1
618,Male,Loyal Customer,30,Business travel,Business,3186,2,1,1,1,2,2,2,2,1,2,4,4,3,2,0,0.0,0
619,Female,Loyal Customer,44,Business travel,Business,3934,3,2,2,2,1,4,4,3,3,3,3,1,3,4,0,0.0,0
620,Male,disloyal Customer,40,Business travel,Business,1286,1,1,1,3,2,1,2,2,2,1,3,3,2,2,1,0.0,0
621,Male,Loyal Customer,66,Personal Travel,Eco Plus,1869,1,5,1,2,1,1,1,1,5,3,3,2,2,1,71,54.0,0
622,Male,Loyal Customer,54,Business travel,Business,4572,1,1,1,1,5,5,5,4,3,5,4,5,5,5,168,156.0,1
623,Female,Loyal Customer,33,Business travel,Business,627,1,1,1,1,4,4,4,2,2,2,2,4,2,4,2,0.0,1
624,Female,Loyal Customer,68,Personal Travel,Eco,3152,3,4,3,2,3,4,4,4,4,5,4,4,5,4,213,186.0,0
625,Female,Loyal Customer,55,Business travel,Business,2265,4,4,4,4,4,5,4,5,5,5,5,1,5,3,35,32.0,1
626,Male,Loyal Customer,21,Personal Travel,Eco,1391,3,4,2,2,3,2,3,3,5,3,4,5,4,3,0,0.0,0
627,Male,Loyal Customer,39,Business travel,Business,2448,5,5,5,5,5,5,5,3,4,5,4,5,5,5,0,0.0,1
628,Female,Loyal Customer,56,Business travel,Eco,623,1,1,1,1,1,3,3,1,1,1,1,1,1,3,109,115.0,0
629,Male,Loyal Customer,25,Business travel,Business,2000,4,4,4,4,4,4,4,4,4,2,5,5,5,4,7,0.0,1
630,Female,Loyal Customer,57,Personal Travel,Eco,575,0,2,0,4,5,0,5,5,4,1,4,2,3,5,0,0.0,1
631,Male,Loyal Customer,53,Business travel,Eco,2632,2,4,2,4,2,2,2,2,3,2,3,2,3,2,20,17.0,0
632,Male,Loyal Customer,21,Personal Travel,Eco,2031,2,2,3,2,5,3,5,5,2,3,3,2,2,5,0,0.0,0
633,Female,Loyal Customer,49,Business travel,Business,1690,2,2,2,2,3,5,4,4,4,4,4,5,4,3,0,12.0,1
634,Male,Loyal Customer,22,Business travel,Eco Plus,1496,2,5,4,5,2,2,3,2,1,1,3,1,3,2,26,24.0,0
635,Male,Loyal Customer,45,Business travel,Business,3556,1,1,1,1,4,5,4,5,5,5,5,5,5,5,0,0.0,1
636,Male,Loyal Customer,20,Business travel,Business,1466,5,5,5,5,2,2,2,2,4,5,4,3,5,2,0,0.0,1
637,Female,Loyal Customer,57,Business travel,Business,2804,1,1,1,1,5,5,5,2,5,4,4,5,1,5,0,0.0,1
638,Female,Loyal Customer,36,Business travel,Business,3778,2,2,2,2,3,5,4,4,4,5,4,5,4,5,17,28.0,1
639,Male,Loyal Customer,64,Personal Travel,Eco,1823,2,4,0,2,4,0,2,4,5,3,5,3,2,4,59,59.0,0
640,Female,Loyal Customer,39,Personal Travel,Eco,1610,4,2,5,5,4,1,1,4,4,4,4,2,4,4,0,30.0,1
641,Male,Loyal Customer,19,Personal Travel,Eco,1648,4,0,4,1,1,4,1,1,4,2,3,5,4,1,7,0.0,0
642,Female,disloyal Customer,19,Business travel,Eco,1857,2,2,2,1,5,2,5,5,5,1,1,2,2,5,65,46.0,0
643,Male,Loyal Customer,58,Business travel,Eco,1436,2,1,3,3,2,2,2,2,4,2,3,1,4,2,0,0.0,0
644,Female,Loyal Customer,49,Business travel,Business,318,1,1,1,1,4,4,5,5,5,5,5,5,5,4,0,0.0,1
645,Female,Loyal Customer,54,Business travel,Eco,867,3,5,5,5,4,4,3,3,3,3,3,2,3,2,0,7.0,0
646,Male,Loyal Customer,46,Business travel,Business,2537,1,1,1,1,5,4,5,5,5,5,5,5,5,4,12,12.0,1
647,Female,Loyal Customer,70,Business travel,Business,1674,4,4,4,4,5,4,5,5,5,5,4,4,5,5,8,0.0,1
648,Female,Loyal Customer,68,Personal Travel,Eco Plus,273,2,2,2,2,5,5,5,5,3,1,2,4,1,5,0,0.0,1
649,Female,Loyal Customer,22,Business travel,Business,5178,5,5,5,5,3,3,3,3,1,2,1,1,5,3,0,0.0,1
650,Male,Loyal Customer,44,Personal Travel,Eco,1637,4,4,4,3,5,4,1,5,5,5,5,3,4,5,0,0.0,0
651,Female,Loyal Customer,62,Business travel,Business,1718,2,2,2,2,2,5,4,5,5,5,5,5,5,3,119,126.0,1
652,Female,Loyal Customer,22,Personal Travel,Eco,2222,2,2,5,2,4,5,5,2,2,2,2,4,2,4,26,8.0,1
653,Male,Loyal Customer,46,Personal Travel,Eco,2481,3,2,3,3,4,3,4,4,2,4,3,4,3,4,124,115.0,0
654,Male,Loyal Customer,56,Business travel,Business,3824,1,1,1,1,4,2,2,5,5,5,5,3,5,1,0,41.0,1
655,Male,Loyal Customer,12,Personal Travel,Eco,3006,2,1,2,1,2,2,2,2,3,2,2,4,1,2,6,21.0,0
656,Male,disloyal Customer,33,Business travel,Business,1994,3,3,3,5,4,3,4,4,3,4,5,5,5,4,0,0.0,0
657,Male,Loyal Customer,37,Business travel,Business,3801,4,4,4,4,5,5,5,5,5,4,5,4,5,4,11,17.0,1
658,Male,Loyal Customer,35,Business travel,Eco,2018,2,2,2,2,2,1,2,2,3,2,3,4,4,2,0,15.0,0
659,Female,Loyal Customer,21,Personal Travel,Eco,1765,1,1,1,1,5,4,5,5,5,5,5,3,5,5,0,0.0,1
660,Male,Loyal Customer,47,Business travel,Business,1864,4,4,4,4,4,4,5,4,4,4,4,4,4,3,9,0.0,1
661,Female,Loyal Customer,65,Personal Travel,Eco Plus,1516,5,5,5,4,5,4,5,5,5,5,3,4,5,3,0,0.0,1
662,Female,Loyal Customer,68,Personal Travel,Eco Plus,93,5,5,5,5,5,4,5,5,5,4,5,3,5,3,4,0.0,1
663,Male,Loyal Customer,49,Business travel,Business,239,2,2,2,2,1,1,2,4,4,4,3,2,4,3,26,23.0,1
664,Male,Loyal Customer,40,Business travel,Business,273,3,3,3,3,5,4,5,4,4,4,4,5,4,4,4,1.0,1
665,Male,Loyal Customer,43,Business travel,Business,999,4,4,2,4,2,4,4,5,5,5,5,4,5,3,0,0.0,1
666,Female,Loyal Customer,41,Personal Travel,Eco,2376,4,4,4,4,4,4,4,4,1,4,2,1,1,4,0,0.0,1
667,Male,disloyal Customer,31,Business travel,Business,2634,4,4,4,3,1,4,1,1,2,3,3,5,2,1,3,4.0,0
668,Female,Loyal Customer,24,Business travel,Business,5366,5,5,5,5,4,4,4,4,3,5,5,3,5,4,0,0.0,1
669,Male,Loyal Customer,37,Personal Travel,Eco,1716,4,1,4,3,2,4,2,2,3,2,4,3,4,2,38,29.0,1
670,Male,Loyal Customer,53,Business travel,Business,477,2,2,2,2,2,4,4,2,2,2,2,5,2,3,0,3.0,1
671,Female,disloyal Customer,40,Business travel,Business,2265,3,3,3,3,3,3,3,4,2,4,4,3,3,3,132,164.0,0
672,Female,Loyal Customer,35,Business travel,Business,3096,2,2,2,2,5,5,5,5,5,5,5,4,5,5,0,0.0,1
673,Female,Loyal Customer,54,Business travel,Business,3148,2,4,2,4,2,4,3,2,2,2,2,3,2,3,55,44.0,0
674,Female,Loyal Customer,38,Personal Travel,Eco,1233,5,5,1,3,1,1,1,1,1,2,2,4,4,1,2,0.0,1
675,Female,Loyal Customer,52,Business travel,Eco,420,4,2,2,2,3,2,3,4,4,4,4,3,4,4,0,13.0,0
676,Male,Loyal Customer,23,Personal Travel,Eco,1788,0,5,0,1,2,0,2,2,4,1,5,1,5,2,18,13.0,1
677,Male,Loyal Customer,52,Business travel,Eco Plus,1786,3,3,3,3,3,3,3,3,4,2,2,2,1,3,14,34.0,0
678,Male,Loyal Customer,14,Personal Travel,Eco,1816,3,4,2,4,1,2,1,1,3,3,5,4,4,1,0,0.0,0
679,Female,Loyal Customer,53,Business travel,Business,2878,4,4,4,4,3,4,4,4,4,4,4,4,4,5,13,1.0,1
680,Male,Loyal Customer,51,Business travel,Business,3496,2,4,4,4,2,3,4,2,2,2,2,2,2,1,1,6.0,0
681,Male,Loyal Customer,51,Business travel,Business,4015,2,2,2,2,3,4,4,5,5,5,5,5,5,3,0,0.0,1
682,Male,Loyal Customer,59,Personal Travel,Eco,1567,2,4,2,3,1,2,1,1,4,5,5,5,5,1,15,9.0,0
683,Male,Loyal Customer,25,Business travel,Business,4259,2,4,4,4,3,2,2,4,4,2,3,2,3,2,0,25.0,0
684,Male,Loyal Customer,42,Business travel,Eco,1549,5,2,2,2,5,5,5,5,5,5,2,5,1,5,0,0.0,1
685,Female,Loyal Customer,59,Business travel,Eco,391,3,5,3,5,1,1,4,3,3,3,3,4,3,5,0,0.0,1
686,Male,Loyal Customer,58,Business travel,Business,869,5,5,5,5,5,5,4,4,4,4,4,4,4,4,0,0.0,1
687,Female,Loyal Customer,30,Personal Travel,Eco,2722,2,2,2,2,3,5,1,5,5,5,5,2,5,1,0,0.0,1
688,Female,disloyal Customer,25,Business travel,Eco,2095,3,1,3,3,3,3,3,3,2,1,4,4,3,3,8,16.0,0
689,Female,Loyal Customer,50,Business travel,Business,2353,4,4,4,4,2,4,4,5,5,5,5,3,5,4,0,0.0,1
690,Female,Loyal Customer,41,Business travel,Business,2112,1,1,1,1,5,5,4,4,4,5,4,4,4,5,0,0.0,1
691,Female,disloyal Customer,40,Business travel,Business,1765,4,3,3,3,2,3,5,2,4,3,3,1,3,2,26,30.0,0
692,Female,Loyal Customer,36,Personal Travel,Eco,2462,3,3,3,3,4,5,4,4,5,5,4,3,5,4,35,32.0,1
693,Female,Loyal Customer,60,Business travel,Eco,941,4,5,5,5,3,5,4,4,4,4,4,2,4,3,2,23.0,1
694,Female,Loyal Customer,52,Business travel,Eco,2917,4,4,4,4,4,4,4,3,5,4,3,4,1,4,294,280.0,0
695,Male,Loyal Customer,44,Business travel,Business,615,5,4,5,5,4,4,4,1,1,2,1,4,1,4,18,0.0,1
696,Female,disloyal Customer,8,Business travel,Business,2016,1,2,1,4,3,1,3,3,4,5,3,4,3,3,87,95.0,0
697,Female,Loyal Customer,58,Business travel,Business,1772,4,4,4,4,5,5,5,5,5,5,5,5,5,3,84,52.0,1
698,Male,Loyal Customer,51,Business travel,Business,2546,0,1,1,1,3,5,4,3,3,3,3,3,3,3,0,0.0,1
699,Female,Loyal Customer,12,Personal Travel,Eco,1493,4,4,4,1,2,4,2,2,4,2,4,4,5,2,0,0.0,1
700,Female,disloyal Customer,44,Business travel,Business,2119,3,3,3,3,3,3,3,3,5,5,5,4,4,3,0,23.0,0
701,Male,Loyal Customer,33,Business travel,Eco Plus,3228,3,3,2,3,3,4,3,3,4,2,3,3,3,3,2,0.0,0
702,Male,Loyal Customer,8,Personal Travel,Business,1986,4,3,4,3,2,4,2,2,1,3,2,5,4,2,31,17.0,0
703,Female,Loyal Customer,66,Personal Travel,Eco,369,3,5,3,4,3,1,1,2,2,3,2,4,2,4,0,18.0,0
704,Female,Loyal Customer,50,Business travel,Business,2144,4,3,3,3,4,3,4,4,4,4,4,4,4,2,44,40.0,0
705,Female,disloyal Customer,25,Business travel,Eco,2382,2,3,3,1,1,3,1,1,1,3,3,5,2,1,0,0.0,0
706,Male,Loyal Customer,60,Personal Travel,Eco Plus,2211,3,5,3,2,2,3,5,2,3,3,5,4,4,2,30,20.0,0
707,Male,disloyal Customer,15,Business travel,Eco,1521,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,0
708,Male,disloyal Customer,35,Business travel,Business,1893,2,2,2,4,2,2,2,2,5,2,4,4,5,2,27,46.0,0
709,Male,Loyal Customer,30,Business travel,Business,4262,0,0,0,3,1,1,1,1,5,4,4,4,4,1,0,0.0,1
710,Male,Loyal Customer,57,Business travel,Business,1618,2,2,2,2,2,4,5,5,5,5,5,4,5,4,1,5.0,1
711,Female,Loyal Customer,52,Personal Travel,Eco,353,3,3,3,3,5,5,4,4,4,4,4,3,4,5,13,5.0,1
712,Male,Loyal Customer,47,Personal Travel,Eco,1979,2,4,4,4,4,4,4,4,4,2,5,3,4,4,0,0.0,0
713,Male,Loyal Customer,53,Business travel,Business,1883,2,2,2,2,3,4,5,4,4,4,4,3,4,3,5,5.0,1
714,Female,disloyal Customer,24,Business travel,Eco,3181,2,2,2,4,1,2,1,1,1,3,4,2,3,1,0,0.0,0
715,Female,Loyal Customer,50,Business travel,Business,676,4,4,5,4,2,5,5,4,4,4,4,3,4,3,9,17.0,1
716,Male,disloyal Customer,23,Business travel,Eco,2665,0,0,0,2,3,0,3,3,5,4,4,4,4,3,46,52.0,1
717,Male,disloyal Customer,24,Business travel,Eco,1963,4,0,3,3,4,3,4,4,4,3,3,4,1,4,0,0.0,0
718,Female,disloyal Customer,38,Business travel,Eco,2102,2,2,2,3,1,2,3,1,2,5,3,4,2,1,0,0.0,0
719,Female,disloyal Customer,26,Business travel,Business,1542,2,3,3,5,4,3,2,4,5,4,4,3,4,4,0,6.0,0
720,Female,disloyal Customer,31,Business travel,Eco,1953,2,2,2,3,4,2,4,4,2,2,4,3,4,4,0,0.0,0
721,Male,Loyal Customer,27,Business travel,Business,2513,2,2,2,2,4,4,4,4,1,5,5,5,5,4,5,29.0,1
722,Male,Loyal Customer,46,Business travel,Eco Plus,2388,3,1,3,1,3,3,3,3,4,2,2,1,3,3,96,83.0,0
723,Male,Loyal Customer,45,Business travel,Eco Plus,1721,2,5,5,5,2,2,2,2,2,3,3,1,4,2,0,0.0,0
724,Male,disloyal Customer,30,Business travel,Eco,2342,1,2,2,1,5,2,5,5,3,1,3,1,3,5,30,34.0,0
725,Female,Loyal Customer,70,Business travel,Business,320,4,4,4,4,4,5,4,5,5,5,5,5,5,3,0,0.0,1
726,Female,Loyal Customer,53,Business travel,Business,3393,3,4,3,3,2,4,4,4,4,4,4,3,4,3,7,8.0,1
727,Female,Loyal Customer,48,Business travel,Business,2597,4,4,4,4,4,4,4,5,5,5,5,4,5,5,0,0.0,1
728,Female,Loyal Customer,48,Business travel,Business,2954,4,4,4,4,3,5,5,5,5,5,5,5,5,3,0,0.0,1
729,Female,Loyal Customer,11,Personal Travel,Eco,2231,4,4,3,3,4,3,4,4,3,4,5,3,5,4,0,0.0,0
730,Female,disloyal Customer,23,Business travel,Eco,1740,5,0,5,1,4,5,4,4,5,1,1,4,5,4,0,0.0,1
731,Female,Loyal Customer,49,Personal Travel,Business,387,3,3,3,3,5,5,4,4,4,4,4,5,4,5,19,13.0,1
732,Female,Loyal Customer,45,Business travel,Business,1598,2,2,2,2,2,5,4,2,2,2,2,3,2,4,6,0.0,1
733,Male,Loyal Customer,30,Business travel,Business,4800,2,2,2,2,4,4,4,4,4,4,4,4,5,4,0,0.0,1
734,Female,Loyal Customer,51,Business travel,Business,339,1,1,1,1,2,5,5,5,5,4,5,3,5,5,0,0.0,1
735,Male,Loyal Customer,56,Business travel,Business,2753,2,2,2,2,4,3,5,5,5,5,5,5,5,1,0,0.0,1
736,Female,Loyal Customer,32,Business travel,Business,2038,3,5,5,5,3,4,3,3,4,2,2,2,3,3,8,0.0,0
737,Female,Loyal Customer,26,Personal Travel,Eco Plus,2845,5,4,2,2,5,5,4,5,4,5,5,2,2,5,0,0.0,1
738,Female,Loyal Customer,35,Business travel,Business,5342,4,4,4,4,4,4,4,3,2,5,4,4,3,4,154,139.0,1
739,Female,Loyal Customer,66,Business travel,Business,490,2,2,2,2,3,3,2,2,2,2,2,3,2,4,0,0.0,0
740,Male,disloyal Customer,18,Business travel,Eco,1308,2,2,3,4,3,3,3,3,2,2,3,4,4,3,14,7.0,0
741,Male,Loyal Customer,52,Business travel,Eco,1367,4,2,4,2,4,4,4,4,2,4,3,3,5,4,27,11.0,1
742,Male,Loyal Customer,68,Personal Travel,Eco,3654,2,2,2,2,2,3,3,4,1,2,3,3,1,3,3,16.0,0
743,Female,Loyal Customer,37,Personal Travel,Business,2481,4,4,4,4,3,4,4,5,5,5,5,4,5,4,0,0.0,1
744,Female,disloyal Customer,19,Business travel,Business,929,2,2,2,4,2,2,2,2,3,4,4,4,4,2,0,7.0,0
745,Female,Loyal Customer,39,Business travel,Business,276,0,0,0,3,2,4,4,3,3,3,3,5,3,4,3,0.0,1
746,Female,Loyal Customer,23,Business travel,Business,2421,1,1,2,1,5,5,5,5,5,1,1,1,4,5,13,0.0,1
747,Female,Loyal Customer,20,Personal Travel,Eco,1845,2,2,2,2,5,4,4,2,2,2,2,3,2,4,0,0.0,1
748,Female,disloyal Customer,25,Business travel,Eco,1820,3,1,3,4,2,3,2,2,2,5,3,2,3,2,0,0.0,0
749,Male,Loyal Customer,51,Business travel,Business,2773,4,4,4,4,5,5,4,3,3,3,3,4,3,4,2,0.0,1
750,Male,Loyal Customer,57,Business travel,Business,2786,3,3,3,3,3,4,4,5,5,5,5,3,5,3,0,0.0,1
751,Male,Loyal Customer,39,Business travel,Business,1786,1,4,4,4,4,2,3,1,1,1,1,4,1,1,0,0.0,0
752,Female,disloyal Customer,19,Business travel,Eco,1373,4,4,5,4,2,5,2,2,4,3,5,3,4,2,0,7.0,1
753,Female,Loyal Customer,14,Personal Travel,Eco,2473,3,2,3,4,3,3,3,4,5,4,4,3,3,3,154,164.0,0
754,Male,Loyal Customer,25,Personal Travel,Eco Plus,1383,2,5,2,4,1,2,1,1,5,4,5,5,5,1,19,8.0,0
755,Male,Loyal Customer,35,Business travel,Business,226,3,3,3,3,5,3,4,2,2,2,3,4,2,3,0,0.0,0
756,Female,Loyal Customer,49,Business travel,Business,2602,3,2,3,3,4,4,4,4,3,5,4,4,4,4,2,16.0,1
757,Female,Loyal Customer,37,Business travel,Eco,1304,2,4,4,4,2,2,2,2,1,1,4,3,4,2,7,0.0,0
758,Female,Loyal Customer,44,Personal Travel,Eco,1242,4,4,4,2,4,5,4,5,5,4,4,4,5,4,0,0.0,1
759,Female,Loyal Customer,51,Business travel,Business,463,3,3,2,3,2,5,4,4,4,4,4,3,4,4,0,0.0,1
760,Male,Loyal Customer,49,Personal Travel,Eco,2327,2,4,2,3,3,2,3,3,3,2,4,3,4,3,0,9.0,0
761,Male,Loyal Customer,9,Business travel,Eco,2038,2,3,3,3,2,1,4,2,2,1,4,1,4,2,2,0.0,0
762,Male,disloyal Customer,20,Business travel,Eco,1539,2,0,2,3,2,2,2,2,3,4,4,4,5,2,0,1.0,0
763,Female,Loyal Customer,63,Personal Travel,Eco Plus,234,3,5,3,4,2,4,4,3,3,3,3,4,3,4,36,32.0,0
764,Female,Loyal Customer,34,Business travel,Business,2984,1,4,4,4,2,4,4,3,3,3,1,1,3,3,73,69.0,0
765,Female,disloyal Customer,25,Business travel,Business,1589,2,0,2,3,2,2,2,2,5,2,5,4,4,2,0,0.0,0
766,Female,Loyal Customer,26,Personal Travel,Eco,1732,3,3,3,3,5,4,5,5,3,5,5,4,4,5,2,3.0,1
767,Male,Loyal Customer,32,Business travel,Eco,1569,5,3,3,3,5,5,5,5,1,3,2,3,3,5,61,55.0,1
768,Female,Loyal Customer,28,Personal Travel,Eco,1566,3,5,3,5,2,3,2,2,3,5,4,1,5,2,0,0.0,0
769,Male,Loyal Customer,64,Personal Travel,Eco,1838,1,3,1,3,4,1,4,4,1,1,4,1,4,4,0,22.0,0
770,Male,Loyal Customer,30,Business travel,Eco,1993,4,5,3,5,4,3,4,4,3,5,3,2,4,4,0,18.0,0
771,Male,Loyal Customer,26,Personal Travel,Eco,1620,4,2,4,2,3,4,3,3,2,4,3,4,3,3,0,6.0,0
772,Male,disloyal Customer,26,Business travel,Eco,1392,3,0,3,3,5,3,5,5,4,3,5,2,4,5,0,0.0,0
773,Male,Loyal Customer,51,Business travel,Business,1694,2,2,2,2,4,4,5,5,5,5,5,3,5,5,0,0.0,1
774,Female,Loyal Customer,29,Personal Travel,Eco,1561,5,5,5,5,2,4,5,3,3,4,3,3,3,4,31,43.0,1
775,Male,disloyal Customer,24,Business travel,Eco,1554,4,0,4,1,2,4,2,2,3,5,5,3,4,2,25,35.0,1
776,Female,Loyal Customer,55,Business travel,Business,247,5,3,5,5,4,3,3,4,4,4,4,5,4,4,0,0.0,1
777,Female,Loyal Customer,70,Personal Travel,Eco,1008,5,3,3,3,5,5,5,5,2,2,4,2,2,5,0,0.0,1
778,Male,Loyal Customer,21,Personal Travel,Eco,1153,3,4,2,3,1,2,4,1,2,3,4,1,4,1,0,28.0,0
779,Female,Loyal Customer,32,Personal Travel,Eco,1953,3,4,3,3,2,4,5,4,4,4,4,5,4,5,0,0.0,1
780,Male,Loyal Customer,49,Business travel,Business,2907,4,4,4,4,2,4,5,5,5,5,5,3,5,5,6,0.0,1
781,Male,Loyal Customer,42,Business travel,Eco,2351,3,4,4,4,3,3,3,3,4,5,3,3,3,3,4,0.0,0
782,Female,Loyal Customer,66,Personal Travel,Eco Plus,76,3,5,5,5,4,5,3,2,5,1,1,3,3,3,2,9.0,1
783,Female,Loyal Customer,16,Personal Travel,Eco,3789,5,5,5,5,3,4,4,4,4,4,4,3,4,5,2,4.0,1
784,Female,Loyal Customer,22,Business travel,Eco,1730,3,5,5,5,3,3,2,3,4,1,3,1,3,3,58,77.0,0
785,Female,Loyal Customer,40,Business travel,Eco,1937,4,2,2,2,4,4,4,4,1,4,4,1,3,4,8,11.0,0
786,Male,Loyal Customer,40,Personal Travel,Eco,1495,4,5,4,1,5,4,4,5,5,2,5,3,5,5,0,0.0,0
787,Male,disloyal Customer,25,Business travel,Business,1781,5,0,5,4,2,0,4,2,3,5,5,4,5,2,0,2.0,1
788,Male,Loyal Customer,38,Business travel,Business,3318,5,5,3,5,2,1,4,2,2,2,2,5,2,3,0,0.0,1
789,Female,Loyal Customer,63,Business travel,Eco Plus,103,5,2,2,2,5,5,5,5,5,5,5,4,5,1,5,7.0,1
790,Male,Loyal Customer,53,Business travel,Business,2492,3,3,3,3,2,5,4,5,5,4,5,5,5,4,0,0.0,1
791,Female,disloyal Customer,10,Business travel,Eco Plus,2297,1,2,1,3,4,1,4,4,2,2,3,3,4,4,1,13.0,0
792,Male,Loyal Customer,54,Personal Travel,Eco Plus,839,2,2,0,4,5,0,5,5,4,4,3,1,4,5,0,0.0,0
793,Male,Loyal Customer,42,Business travel,Business,2010,2,2,2,2,2,5,4,5,5,5,5,4,5,4,60,56.0,1
794,Female,Loyal Customer,41,Personal Travel,Eco,917,5,3,5,3,1,5,1,1,2,3,4,4,4,1,1,4.0,1
795,Female,Loyal Customer,61,Personal Travel,Eco,884,4,3,3,2,1,2,3,2,2,3,2,3,2,1,0,11.0,1
796,Male,Loyal Customer,41,Business travel,Eco,1424,3,1,1,1,4,3,4,4,3,3,2,3,2,4,0,0.0,1
797,Male,disloyal Customer,14,Business travel,Eco,2336,3,2,2,1,1,2,1,1,5,3,5,3,4,1,12,0.0,0
798,Male,Loyal Customer,55,Business travel,Business,1380,3,3,1,1,2,4,3,3,3,3,3,1,3,1,67,44.0,0
799,Male,Loyal Customer,41,Business travel,Business,2015,4,4,4,4,1,5,4,3,3,3,3,4,3,2,62,49.0,1
800,Female,disloyal Customer,25,Business travel,Eco,2208,2,2,2,1,2,2,1,2,3,3,3,4,4,2,92,57.0,0
801,Female,Loyal Customer,70,Personal Travel,Eco,1486,5,5,5,5,2,4,5,5,5,5,5,5,5,5,0,0.0,1
802,Female,Loyal Customer,66,Personal Travel,Eco Plus,100,5,4,4,4,4,3,1,5,5,5,5,4,5,4,0,5.0,1
803,Female,Loyal Customer,28,Business travel,Eco Plus,2167,2,3,3,3,2,2,2,2,2,5,3,1,4,2,2,0.0,0
804,Male,Loyal Customer,24,Personal Travel,Eco,1621,4,4,4,2,5,4,5,5,3,2,5,4,4,5,0,0.0,0
805,Male,Loyal Customer,68,Personal Travel,Eco,1021,2,4,2,4,4,2,4,4,5,3,4,4,4,4,4,8.0,0
806,Male,Loyal Customer,29,Personal Travel,Eco,1390,4,5,4,2,3,4,3,3,4,3,4,3,2,3,0,0.0,0
807,Female,Loyal Customer,50,Business travel,Business,1537,4,4,4,4,5,4,5,4,4,4,4,4,4,4,0,0.0,1
808,Female,disloyal Customer,54,Business travel,Business,2136,3,2,2,4,4,3,3,4,3,4,4,3,5,4,8,3.0,1
809,Male,Loyal Customer,61,Business travel,Eco Plus,1934,3,3,3,3,3,3,3,3,4,1,3,2,2,3,0,0.0,0
810,Female,Loyal Customer,74,Business travel,Business,232,3,3,3,3,5,4,5,4,4,4,4,3,4,5,18,79.0,1
811,Female,Loyal Customer,60,Business travel,Business,3828,5,5,2,5,5,5,5,4,5,5,5,5,4,5,138,179.0,1
812,Female,Loyal Customer,37,Business travel,Business,493,5,5,5,5,2,5,5,4,4,4,4,4,4,5,0,5.0,1
813,Male,Loyal Customer,43,Business travel,Eco,1991,2,4,4,4,2,2,2,2,4,4,1,3,2,2,0,6.0,0
814,Female,Loyal Customer,51,Business travel,Business,1230,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0.0,1
815,Male,disloyal Customer,29,Business travel,Business,2169,5,5,5,3,5,5,5,5,4,4,4,4,5,5,2,7.0,1
816,Male,Loyal Customer,58,Personal Travel,Business,323,3,3,3,2,4,5,5,1,1,3,1,3,1,1,11,11.0,0
817,Female,disloyal Customer,36,Business travel,Business,1319,4,5,5,4,1,5,1,1,4,3,4,4,5,1,1,2.0,0
818,Male,disloyal Customer,44,Business travel,Business,1469,4,4,4,1,2,4,5,2,3,3,5,3,4,2,0,0.0,1
819,Male,Loyal Customer,19,Personal Travel,Eco,2063,4,4,4,1,3,4,3,3,3,2,4,4,5,3,0,0.0,0
820,Male,disloyal Customer,16,Business travel,Eco,2207,2,3,3,4,4,3,2,4,3,4,5,5,5,4,0,1.0,0
821,Male,Loyal Customer,41,Business travel,Business,487,4,4,3,4,5,5,4,5,5,4,5,3,5,4,0,0.0,1
